FileSize,avg_throughput
4096,56.514775
8192,58.733418
16384,58.494646
32768,54.297813
65536,64.035378
131072,57.454683
262144,56.092711
524288,55.544622
33554432, 1
67108864, 0.77
134217728,0.72
4096,0.14539
8192,0.473441
16384,0.802994
32768,0.850305
65536,0.90917
131072,1.065219
262144,1.002771
524288,1.09161
1048576,1.125928
2097152,16.768684
4194304,1.351433
8388608,3.797542
16777216,3.567411
33554432,0.96977
4096,1.10369
8192,1.033566
16384,0.993181
32768,0.969837
65536,1.148478
131072,1.181611
262144,1.200846
524288,1.178234
1048576,6.516019
2097152,1.919394
4194304,3.979281
8388608,2.656602
16777216,5.297353
33554432,10.879417
67108864,16.623993
4096,12.1
8192,10.2
16384,10.2
32768,11.4
65536,11.3
131072,8.2
262144,11.7
524288,10
1048576,14.6
2097152,11.8
4194304,13.4
8388608,14.1
16777216,13.4
33554432,12.1
67108864,11.0
134217728,13.9
268435456,14.2
536870912,12.4
1073741824,0.684096,0.322145
8192,48.761615
16384,112.094799
32768,144.106743
65536,146.405976
131072,23.071958
262144,36.095704
524288,143.677589
1048576,131.899853
2097152,115.203787
4194304,148.803484
8388608,132.72641
16777216,88.154733
33554432,150.189805
67108864,138.749423
134217728,159.036863
268435456,152.458938
