write_back,physical_disk_cache,read_ahead_controller,single_chuck,pattern,operation,avg_latency,avg_throughput
False,False,False,False,rand,write,33684971.712002,0.1159936
False,False,False,False,rand,read,13880456.0981056,0.28152019999999994
False,False,False,False,seq,write,33762315.4249902,0.1158188
False,False,False,False,seq,read,1224660.6854982,4.0768812
False,False,False,True,rand,write,42115.9454296875,0.0045395178027343745
False,False,False,True,rand,read,34397.31330078125,0.00555108791015625
False,False,False,True,seq,write,45540.96390625,0.00418986861328125
False,False,False,True,seq,read,33499.70916992187,0.00569918419921875
False,False,True,False,rand,write,33303618.446211003,0.11730339999999999
False,False,True,False,rand,read,13239287.355928,0.2950752
False,False,True,False,seq,write,33590223.258525394,0.11643079999999999
False,False,True,False,seq,read,1786610.0435447998,2.195411
False,False,True,True,rand,write,43159.894560546876,0.0044222942871093756
False,False,True,True,rand,read,35475.0676953125,0.005378298535156249
False,False,True,True,seq,write,42593.672255859376,0.004480074843749999
False,False,True,True,seq,read,36173.535400390625,0.005277268916015624
False,True,False,False,rand,write,7004669.315165999,0.558271
False,True,False,False,rand,read,20581337.038584,0.1899186
False,True,False,False,seq,write,26303010.062041,0.14851720000000002
False,True,False,False,seq,read,1098770.1625782,3.7427460000000004
False,True,False,True,rand,write,47459.2130859375,0.004037594921875
False,True,False,True,rand,read,36547.9525390625,0.005221816523437501
False,True,False,True,seq,write,45840.913593749996,0.0041727783203125
False,True,False,True,seq,read,36472.56383789062,0.00524883845703125
False,True,True,False,rand,write,7051966.4953124,0.5559208
False,True,True,False,rand,read,20658863.6641894,0.1893464
False,True,True,False,seq,write,31115637.2454394,0.1273844
False,True,True,False,seq,read,1548680.3405762003,3.4937454000000003
False,True,True,True,rand,write,59910.065644531256,0.003243260126953125
False,True,True,True,rand,read,45923.26767578125,0.0042071046484375
False,True,True,True,seq,write,56931.08598632812,0.0033862690917968743
False,True,True,True,seq,read,43796.30532226562,0.0043892865234375
