write_back,physical_disk_cache,read_ahead_controller,single_chuck,pattern,operation,avg_latency,avg_throughput
True,True,True,False,rand,write,27853.635406600002,140.7473302
True,True,True,False,rand,read,725807.959214,5.389942800000001
True,True,True,False,seq,write,21885.3048378,178.50456419999998
True,True,True,False,seq,read,25067.512468,158.573121
True,True,True,True,rand,write,224010441.6,4581.248472
True,True,True,True,rand,read,119929882.6,8561.2618426
True,True,True,True,seq,write,230535414.2,4446.5020108
True,True,True,True,seq,read,128704818.8,7996.5687288
True,True,False,False,rand,write,28680.485750000003,136.2443268
True,True,False,False,rand,read,783207.2030784001,5.089290200000001
True,True,False,False,seq,write,21940.091980799996,178.07441120000001
True,True,False,False,seq,read,25745.226686,154.609434
True,True,False,True,rand,write,234361389.6,4370.931919199999
True,True,False,True,rand,read,130877854.4,8123.8353351999995
True,True,False,True,seq,write,233002522.8,4395.864835599999
True,True,False,True,seq,read,117455698.6,8748.1936644
True,False,True,False,rand,write,29111.038711,134.2228704
True,False,True,False,rand,read,858884.4180905999,4.6550038
True,False,True,False,seq,write,22521.2007066,173.5542488
True,False,True,False,seq,read,24382.994023199997,161.5218366
True,False,True,True,rand,write,240629471.4,4275.7759064
True,False,True,True,rand,read,122163038.6,8495.6958666
True,False,True,True,seq,write,223088263.4,4596.7394588
True,False,True,True,seq,read,115284988.0,9057.7945462
True,False,False,False,rand,write,28853.065541800002,135.4250918
True,False,False,False,rand,read,797165.6508188,4.995292399999999
True,False,False,False,seq,write,22679.9455636,172.6781062
True,False,False,False,seq,read,24579.8673332,161.30880459999997
True,False,False,True,rand,write,227898415.0,4504.1772732
True,False,False,True,rand,read,127421386.8,8124.734531
True,False,False,True,seq,write,234109599.6,4384.4536024
True,False,False,True,seq,read,124269353.0,8255.223523
False,True,True,False,rand,write,3016380.2811134,1.296001
False,True,True,False,rand,read,5737472.085576,0.6816712
False,True,True,False,seq,write,22349986.666690998,0.174793
False,True,True,False,seq,read,32774.4957818,119.72406040000001
False,True,True,True,rand,write,5424738238.6,188.82502320000003
False,True,True,True,rand,read,3706529713.6,276.93876739999996
False,True,True,True,seq,write,5344918090.0,191.59296899999998
False,True,True,True,seq,read,3664223298.6,279.8286264
False,True,False,False,rand,write,2975160.2145332,1.3139428
False,True,False,False,rand,read,5735008.145912199,0.6816788
False,True,False,False,seq,write,22623787.015045602,0.17268679999999997
False,True,False,False,seq,read,49102.3867844,96.67093919999999
False,True,False,True,rand,write,5462416947.6,187.58202079999998
False,True,False,True,rand,read,3218983939.8,318.1310992
False,True,False,True,seq,write,5401198426.0,189.62077440000002
False,True,False,True,seq,read,3229613194.0,317.13001679999996
False,False,True,False,rand,write,27208788.634227,0.14357579999999998
False,False,True,False,rand,read,5816941.487705799,0.6723056
False,False,True,False,seq,write,28355737.152968,0.142299
False,False,True,False,seq,read,46966.8505394,1649.2312242
False,False,True,True,rand,write,5337449182.8,191.8985534
False,False,True,True,rand,read,2902299838.4,874.8697761999999
False,False,True,True,seq,write,5365238534.0,190.96013320000003
False,False,True,True,seq,read,3647596604.8,280.9949944
False,False,False,False,rand,write,3530047.8595132,1.1963858000000003
False,False,False,False,rand,read,6881248.3147584,0.5932394
False,False,False,False,seq,write,44361457.767713405,0.10432700000000002
False,False,False,False,seq,read,52247.5422326,80.4091238
False,False,False,True,rand,write,5389846505.2,190.0232086
False,False,False,True,rand,read,3242732627.2,315.84024580000005
False,False,False,True,seq,write,5411188465.4,189.28382199999996
False,False,False,True,seq,read,3219695321.8,318.155981
